Run,EX_glc__D_e,EX_nh4_e,EX_pi_e,EX_so4_e,EX_mg2_e
1,5.0,2.0,0.5,0.1,0.05
2,5.0,2.0,0.5,0.1,1.0
3,5.0,2.0,0.5,2.0,0.05
4,5.0,2.0,0.5,2.0,1.0
5,5.0,2.0,5.0,0.1,0.05
6,5.0,2.0,5.0,0.1,1.0
7,5.0,2.0,5.0,2.0,0.05
8,5.0,2.0,5.0,2.0,1.0
9,5.0,10.0,0.5,0.1,0.05
10,5.0,10.0,0.5,0.1,1.0
11,5.0,10.0,0.5,2.0,0.05
12,5.0,10.0,0.5,2.0,1.0
13,5.0,10.0,5.0,0.1,0.05
14,5.0,10.0,5.0,0.1,1.0
15,5.0,10.0,5.0,2.0,0.05
16,5.0,10.0,5.0,2.0,1.0
17,20.0,2.0,0.5,0.1,0.05
18,20.0,2.0,0.5,0.1,1.0
19,20.0,2.0,0.5,2.0,0.05
20,20.0,2.0,0.5,2.0,1.0
21,20.0,2.0,5.0,0.1,0.05
22,20.0,2.0,5.0,0.1,1.0
23,20.0,2.0,5.0,2.0,0.05
24,20.0,2.0,5.0,2.0,1.0
25,20.0,10.0,0.5,0.1,0.05
26,20.0,10.0,0.5,0.1,1.0
27,20.0,10.0,0.5,2.0,0.05
28,20.0,10.0,0.5,2.0,1.0
29,20.0,10.0,5.0,0.1,0.05
30,20.0,10.0,5.0,0.1,1.0
31,20.0,10.0,5.0,2.0,0.05
32,20.0,10.0,5.0,2.0,1.0
33,12.5,6.0,2.75,1.05,0.525
34,12.5,6.0,2.75,1.05,0.525
35,12.5,6.0,2.75,1.05,0.525
36,12.5,6.0,2.75,1.05,0.525
37,5.0,6.0,2.75,1.05,0.525
38,20.0,6.0,2.75,1.05,0.525
39,12.5,2.0,2.75,1.05,0.525
40,12.5,10.0,2.75,1.05,0.525
41,12.5,6.0,0.5,1.05,0.525
42,12.5,6.0,5.0,1.05,0.525
43,12.5,6.0,2.75,0.1,0.525
44,12.5,6.0,2.75,2.0,0.525
45,12.5,6.0,2.75,1.05,0.05
46,12.5,6.0,2.75,1.05,1.0
47,12.5,6.0,2.75,1.05,0.525
48,12.5,6.0,2.75,1.05,0.525
49,12.5,6.0,2.75,1.05,0.525
50,12.5,6.0,2.75,1.05,0.525
